id,name,address,category,naver_category,new_cuisine_type,new_main_category
47089,냉삼마을,"서울특별시 서대문구 연희로 283, 1층 5호 (홍은동)",기타,한식>돼지고기구이,고기/구이,RESTAURANT
47113,ESTREET(이스트릿),"서울특별시 서대문구 이화여대길 72-4, 1층 (대현동)",기타,,기타,RESTAURANT
47153,연희예술극장,"서울특별시 서대문구 연희맛로 2-3, 지하1층 (연희동)",기타,"문화,예술>복합문화공간",기타,RESTAURANT
47180,그린앤피니 홍제점,"서울특별시 서대문구 통일로37길 50, 1층 좌측호 (홍제동)",기타,"도시락,컵밥>다이어트,샐러드",양식,RESTAURANT
47181,크레스타운 이대점,"서울특별시 서대문구 이화여대길 45, 2층 오른쪽, 3층 (대현동)",기타,"음식점>카페,디저트",카페,CAFE
47184,율무,"서울특별시 서대문구 경기대로9길 81, 금화재 1층 102호 (충정로3가)",기타,음식>급식,기타,RESTAURANT
47212,미도파,"서울특별시 서대문구 성산로 317, 2층 (연희동)",기타,"음식점>카페,디저트",카페,CAFE
47217,아띠벅,"서울특별시 서대문구 포방터길 69, 1층 (홍은동)",기타,,기타,RESTAURANT
47220,미미에토,"서울특별시 서대문구 연희로 153-4, 1층 (연희동)",기타,"음식점>카페,디저트",카페,CAFE
47259,부에나 비스타,"서울특별시 서대문구 충정로9길 22, 1층 (충정로2가)",기타,"음식점>카페,디저트",카페,CAFE
47266,팀메리 신촌점,"서울특별시 서대문구 연세로11길 15, 2층 (창천동)",기타,"음식점>카페,디저트",카페,CAFE
47269,위블레(oui ble),"서울특별시 서대문구 연대동문길 71, 1층 (대신동)",기타,"카페,디저트>베이커리",아시아음식,RESTAURANT
47348,다락,"서울특별시 서대문구 신촌로29길 26, 1층 상가 일부 106호 (북아현동)",기타,숙박>게스트하우스,해산물,RESTAURANT
47381,금잔디,"서울특별시 서대문구 수색로4가길 15, 1층 (남가좌동)",기타,"서비스,산업>쉐어하우스,하숙",기타,RESTAURANT
